Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1FTP6uQPIugYxEg2jxwEKO,"El viento","Clandestino","Manu Chao",1998-10-06,148840,49,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:49:21Z,"música alternativa latina","Radio Bemba",0.686,0.364,4,-12.239,1,0.0631,0.891,0.000109,0.532,0.567,128.538,4
spotify:track:5nNoNVM0yxd4k1JMHZvWWs,"La despedida","Clandestino","Manu Chao",1998-10-06,189586,52,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:49:32Z,"música alternativa latina","Radio Bemba",0.65,0.478,11,-9.709,0,0.0559,0.072,0,0.547,0.713,163.94,4
spotify:track:1GsVEQfNpSuDZdz1yntZQa,"Merry Blues","Próxima Estación: Esperanza","Manu Chao",2001-06-01,216066,49,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:49:48Z,"música alternativa latina","Radio Bemba",0.638,0.877,7,-8.208,0,0.252,0.438,0.00474,0.134,0.894,164.039,4
spotify:track:6JXPYFNQKDD9PipDrzxRnP,"Eldorado 1997","Próxima Estación: Esperanza","Manu Chao",2001-06-01,89800,43,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:49:52Z,"música alternativa latina","Radio Bemba",0.575,0.735,10,-7.585,0,0.27,0.138,0.00000587,0.817,0.962,182.543,4
spotify:track:43hoQmacvWqdKnpog2qtcw,"Promiscuity","Próxima Estación: Esperanza","Manu Chao",2001-06-01,95986,45,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:49:56Z,"música alternativa latina","Radio Bemba",0.652,0.724,10,-8.627,1,0.0506,0.813,0.000277,0.238,0.984,170.968,4
spotify:track:3D7c877toc0Aec6HLAlILK,"La Chinita","Próxima Estación: Esperanza","Manu Chao",2001-06-01,93760,48,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:50:04Z,"música alternativa latina","Radio Bemba",0.694,0.754,6,-6.482,1,0.172,0.675,0.0000818,0.207,0.952,176.03,4
spotify:track:5gUXB6Jt3HQJFMRffLIt4J,"Infinita Tristeza","Próxima Estación: Esperanza","Manu Chao",2001-06-01,236466,43,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:50:12Z,"música alternativa latina","Radio Bemba",0.713,0.592,11,-11.305,0,0.346,0.668,0.00000601,0.363,0.947,87.997,4
spotify:track:1WSwO430vHpJyjvdEXgofU,"Denia","Próxima Estación: Esperanza","Manu Chao",2001-06-01,279480,53,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:50:21Z,"música alternativa latina","Radio Bemba",0.656,0.838,4,-6.097,0,0.0339,0.344,0.000271,0.679,0.7,120,4
spotify:track:3JJIdDXjN8oH6ZfPv3pApB,"Bixo","Próxima Estación: Esperanza","Manu Chao",2001-06-01,112040,46,false,azvwtt6iohg3hran3hxv47xn6,2022-05-02T12:50:32Z,"música alternativa latina","Radio Bemba",0.658,0.452,5,-9.929,0,0.153,0.762,0,0.506,0.971,91.321,4
spotify:track:5aTqQwjV0HNJpOcNYCiR3j,"Un Tipo Diferente","Curiosa La Cara De Tu Padre","Melendi",2008-09-16,232533,40,false,azvwtt6iohg3hran3hxv47xn6,2022-05-05T18:01:08Z,"flamenco,flamenco pop","Parlophone Spain",0.591,0.685,0,-5.345,1,0.0461,0.0685,0.000031,0.36,0.401,81.477,4
spotify:track:0gMmE5rcpstgLaDNybMbeQ,"Déjame Vivir","Curiosa La Cara De Tu Padre","Melendi",2008-09-16,222653,32,false,azvwtt6iohg3hran3hxv47xn6,2022-05-05T18:01:19Z,"flamenco,flamenco pop","Parlophone Spain",0.62,0.778,9,-4.737,0,0.046,0.454,0,0.0968,0.404,141.969,4
spotify:track:2z8s2nQA67uwwt7ItYUkKy,"Mis Alas Son Tus Hojas","Curiosa La Cara De Tu Padre","Melendi",2008-09-16,218533,43,false,azvwtt6iohg3hran3hxv47xn6,2022-05-05T18:01:23Z,"flamenco,flamenco pop","Parlophone Spain",0.566,0.937,9,-4.119,0,0.0419,0.0143,0.0325,0.132,0.749,155.015,4
spotify:track:6fO1OaGQLugwNS2tesnY8D,"Maldita Vida Loca","Curiosa La Cara De Tu Padre","Melendi",2008-09-16,228813,37,false,azvwtt6iohg3hran3hxv47xn6,2022-05-05T18:01:57Z,"flamenco,flamenco pop","Parlophone Spain",0.579,0.824,7,-4.563,1,0.0273,0.00357,0.00000146,0.373,0.479,145.982,4
spotify:track:6zYwiliuBopzYz9PBDwbJG,"En Ocasiones Veo Muertos","Curiosa La Cara De Tu Padre","Melendi",2008-09-16,206120,39,false,azvwtt6iohg3hran3hxv47xn6,2022-05-05T18:02:59Z,"flamenco,flamenco pop","Parlophone Spain",0.813,0.927,4,-5.613,1,0.0673,0.224,0.0000104,0.0332,0.938,104.996,4
spotify:track:7I4HG38tt30JQ65sgc4lfj,"Qué Más Puede Salir Mal","Curiosa La Cara De Tu Padre","Melendi",2008-09-16,192453,30,false,azvwtt6iohg3hran3hxv47xn6,2022-05-05T18:03:04Z,"flamenco,flamenco pop","Parlophone Spain",0.632,0.822,7,-4.193,1,0.0298,0.0232,0,0.332,0.488,109.972,4
spotify:track:56sN1PEsVErUNWi41CS9bF,"Las Cosas Del Amor","Curiosa La Cara De Tu Padre","Melendi",2008-09-16,204440,33,false,azvwtt6iohg3hran3hxv47xn6,2022-05-05T18:03:08Z,"flamenco,flamenco pop","Parlophone Spain",0.762,0.737,1,-6.323,1,0.0476,0.0808,0.00528,0.272,0.612,85.952,4
spotify:track:5MxYwZ7rJDvJAmuaAfCAZW,"La Mi Mozuca","Curiosa La Cara De Tu Padre","Melendi",2008-09-16,249746,42,false,azvwtt6iohg3hran3hxv47xn6,2022-05-05T18:09:26Z,"flamenco,flamenco pop","Parlophone Spain",0.279,0.274,10,-9.161,1,0.0402,0.468,0,0.0777,0.457,201.165,3
spotify:track:5J89fUbmNiI0HU2pID6uGR,"Una Historia De Dos","Curiosa La Cara De Tu Padre","Melendi",2008-09-16,288626,0,false,azvwtt6iohg3hran3hxv47xn6,2022-05-05T18:09:31Z,"flamenco,flamenco pop","Parlophone Spain",0.411,0.819,7,-4.441,1,0.137,0.22,0.00000498,0.341,0.566,183.805,4
spotify:track:09DADYcm5DU7npyK3XnEhQ,"Everybody","Celebration","DJ BoBo;Emilia",2002-03-25,217800,34,false,azvwtt6iohg3hran3hxv47xn6,2025-05-30T20:42:06Z,"eurodance,europop","YES MUSIC",0.746,0.748,1,-5.895,1,0.052,0.197,0.00000509,0.0908,0.95,100.012,4
